Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,1,0,0,1,1,0,0
2020-04-01,0,0,0,1,1,0,0
2020-04-02,1,0,0,2,2,0,0
2020-04-03,0,0,0,2,2,0,0
2020-04-04,0,0,0,2,2,0,0
2020-04-05,1,0,0,3,3,0,0
2020-04-06,1,0,0,4,4,0,0
2020-04-07,0,0,0,4,4,0,0
2020-04-08,0,0,0,4,4,0,0
2020-04-09,9,0,1,12,13,0,1
2020-04-10,1,0,0,13,14,0,1
2020-04-11,3,0,0,16,17,0,1
2020-04-12,2,0,1,17,19,0,2
2020-04-13,5,0,0,22,24,0,2
2020-04-14,3,0,0,25,27,0,2
2020-04-15,1,0,0,26,28,0,2
2020-04-16,1,0,0,27,29,0,2
2020-04-17,3,0,0,30,32,0,2
2020-04-18,1,0,0,31,33,0,2
2020-04-19,8,0,0,39,41,0,2
2020-04-20,5,4,0,40,46,4,2
2020-04-21,0,0,0,40,46,4,2
2020-04-22,0,0,0,40,46,4,2
2020-04-23,7,4,1,42,53,8,3
2020-04-24,6,0,0,48,59,8,3
2020-04-25,8,0,0,56,67,8,3
2020-04-26,15,5,0,66,82,13,3
2020-04-27,21,4,0,83,103,17,3
2020-04-28,2,2,0,83,105,19,3
2020-04-29,2,0,0,85,107,19,3
2020-04-30,3,0,0,88,110,19,3
2020-05-01,3,2,0,89,113,21,3
2020-05-02,2,1,0,90,115,22,3
2020-05-03,0,5,0,85,115,27,3
2020-05-04,0,0,0,85,115,27,3
2020-05-05,10,6,0,89,125,33,3
2020-05-06,2,4,0,87,127,37,3
2020-05-07,5,4,0,88,132,41,3
2020-05-08,22,0,0,110,154,41,3
2020-05-09,2,37,0,75,156,78,3
2020-05-10,1,0,0,76,157,78,3
2020-05-11,4,0,0,80,161,78,3
2020-05-12,11,1,0,90,172,79,3
2020-05-13,5,8,0,87,177,87,3
2020-05-14,26,0,0,113,203,87,3
2020-05-15,8,10,0,111,211,97,3
2020-05-16,6,16,0,101,217,113,3
2020-05-17,6,0,0,107,223,113,3
2020-05-18,5,14,0,98,228,127,3
2020-05-19,20,0,0,118,248,127,3
2020-05-20,42,2,0,158,290,129,3
2020-05-21,13,7,0,164,303,136,3
2020-05-22,20,0,0,184,323,136,3
2020-05-23,27,5,0,206,350,141,3
2020-05-24,20,7,1,218,370,148,4
2020-05-25,35,0,0,253,405,148,4
2020-05-26,21,5,0,269,426,153,4
2020-05-27,7,0,0,276,433,153,4
2020-05-28,6,0,0,282,439,153,4
2020-05-29,82,63,1,300,521,216,5
2020-05-30,73,40,0,333,594,256,5
2020-05-31,41,0,0,374,635,256,5
