Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,0,0,1,1,0,0
2020-03-17,0,0,0,1,1,0,0
2020-03-18,1,0,0,2,2,0,0
2020-03-19,1,0,0,3,3,0,0
2020-03-20,0,0,0,3,3,0,0
2020-03-21,0,0,0,3,3,0,0
2020-03-22,0,0,0,3,3,0,0
2020-03-23,1,0,0,4,4,0,0
2020-03-24,0,0,0,4,4,0,0
2020-03-25,1,0,0,5,5,0,0
2020-03-26,0,0,0,5,5,0,0
2020-03-27,0,0,0,5,5,0,0
2020-03-28,1,1,0,5,6,1,0
2020-03-29,1,0,0,6,7,1,0
2020-03-30,0,1,0,5,7,2,0
2020-03-31,0,0,0,5,7,2,0
2020-04-01,0,0,0,5,7,2,0
2020-04-02,3,0,0,8,10,2,0
2020-04-03,6,0,0,14,16,2,0
2020-04-04,6,0,0,20,22,2,0
2020-04-05,4,2,0,22,26,4,0
2020-04-06,5,0,0,27,31,4,0
2020-04-07,0,0,0,27,31,4,0
2020-04-08,4,1,0,30,35,5,0
2020-04-09,0,0,0,30,35,5,0
2020-04-10,0,0,0,30,35,5,0
2020-04-11,0,0,0,30,35,5,0
2020-04-12,0,0,0,30,35,5,0
2020-04-13,0,2,0,28,35,7,0
2020-04-14,2,2,0,28,37,9,0
2020-04-15,0,0,0,28,37,9,0
2020-04-16,0,0,0,28,37,9,0
2020-04-17,3,0,0,31,40,9,0
2020-04-18,2,0,0,33,42,9,0
2020-04-19,2,2,0,33,44,11,0
2020-04-20,2,7,0,28,46,18,0
2020-04-21,0,1,0,27,46,19,0
2020-04-22,0,4,0,23,46,23,0
2020-04-23,1,1,0,23,47,24,0
2020-04-24,1,1,0,23,48,25,0
2020-04-25,0,1,0,22,48,26,0
2020-04-26,3,0,0,25,51,26,0
2020-04-27,0,0,0,25,51,26,0
2020-04-28,3,0,0,28,54,26,0
2020-04-29,1,2,0,27,55,28,0
2020-04-30,2,8,0,21,57,36,0
2020-05-01,0,1,1,19,57,37,1
2020-05-02,2,2,0,19,59,39,1
2020-05-03,1,0,0,20,60,39,1
2020-05-04,0,0,0,20,60,39,1
2020-05-05,1,0,0,21,61,39,1
2020-05-06,0,0,0,21,61,39,1
2020-05-07,0,0,0,21,61,39,1
2020-05-08,2,6,0,17,63,45,1
2020-05-09,4,1,0,20,67,46,1
2020-05-10,1,0,0,21,68,46,1
2020-05-11,0,0,0,21,68,46,1
2020-05-12,1,0,0,22,69,46,1
2020-05-13,3,0,0,25,72,46,1
2020-05-14,6,4,0,27,78,50,1
2020-05-15,4,1,0,30,82,51,1
2020-05-16,9,0,0,39,91,51,1
2020-05-17,1,1,0,39,92,52,1
2020-05-18,4,0,0,43,96,52,1
2020-05-19,15,0,0,58,111,52,1
2020-05-20,15,1,0,72,126,53,1
2020-05-21,19,0,0,91,145,53,1
2020-05-22,8,0,0,99,153,53,1
2020-05-23,91,2,0,188,244,55,1
2020-05-24,73,3,2,256,317,58,3
2020-05-25,32,0,1,287,349,58,4
2020-05-26,51,6,0,332,400,64,4
2020-05-27,69,15,0,386,469,79,4
2020-05-28,31,0,0,417,500,79,4
2020-05-29,216,23,0,610,716,102,4
2020-05-30,33,0,1,642,749,102,5
2020-05-31,158,0,0,800,907,102,5
