Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,1,0,0,1,1,0,0
2020-03-15,0,0,0,1,1,0,0
2020-03-16,0,1,0,0,1,1,0
2020-03-17,0,0,0,0,1,1,0
2020-03-18,1,0,0,1,2,1,0
2020-03-19,1,0,0,2,3,1,0
2020-03-20,0,0,0,2,3,1,0
2020-03-21,3,0,0,5,6,1,0
2020-03-22,3,0,0,8,9,1,0
2020-03-23,3,0,0,11,12,1,0
2020-03-24,6,0,1,16,18,1,1
2020-03-25,8,0,0,24,26,1,1
2020-03-26,3,0,0,27,29,1,1
2020-03-27,9,1,0,35,38,2,1
2020-03-28,4,0,0,39,42,2,1
2020-03-29,8,0,0,47,50,2,1
2020-03-30,17,2,0,62,67,4,1
2020-03-31,57,2,0,117,124,6,1
2020-04-01,110,0,0,227,234,6,1
2020-04-02,75,0,0,302,309,6,1
2020-04-03,102,0,0,404,411,6,1
2020-04-04,74,2,2,474,485,8,3
2020-04-05,86,0,2,558,571,8,5
2020-04-06,50,5,1,602,621,13,6
2020-04-07,69,6,1,664,690,19,7
2020-04-08,48,2,1,709,738,21,8
2020-04-09,96,6,0,799,834,27,8
2020-04-10,77,17,1,858,911,44,9
2020-04-11,58,0,1,915,969,44,10
2020-04-12,106,6,1,1014,1075,50,11
2020-04-13,98,8,0,1104,1173,58,11
2020-04-14,31,23,1,1111,1204,81,12
2020-04-15,38,37,2,1110,1242,118,14
2020-04-16,25,62,1,1072,1267,180,15
2020-04-17,56,103,0,1025,1323,283,15
2020-04-18,49,82,0,992,1372,365,15
2020-04-19,105,46,0,1051,1477,411,15
2020-04-20,43,46,2,1046,1520,457,17
2020-04-21,76,178,1,943,1596,635,18
2020-04-22,33,27,0,949,1629,662,18
2020-04-23,54,90,2,911,1683,752,20
2020-04-24,72,114,2,867,1755,866,22
2020-04-25,66,94,1,838,1821,960,23
2020-04-26,64,60,1,841,1885,1020,24
2020-04-27,52,54,0,839,1937,1074,24
2020-04-28,121,54,1,905,2058,1128,25
2020-04-29,104,82,2,925,2162,1210,27
2020-04-30,161,48,0,1038,2323,1258,27
2020-05-01,203,54,1,1186,2526,1312,28
2020-05-02,231,29,1,1387,2757,1341,29
2020-05-03,266,38,1,1614,3023,1379,30
2020-05-04,527,30,1,2110,3550,1409,31
2020-05-05,508,76,2,2540,4058,1485,33
2020-05-06,771,31,2,3278,4829,1516,35
2020-05-07,580,31,2,3825,5409,1547,37
2020-05-08,600,58,3,4364,6009,1605,40
2020-05-09,526,219,4,4667,6535,1824,44
2020-05-10,669,135,3,5198,7204,1959,47
2020-05-11,798,92,6,5898,8002,2051,53
2020-05-12,716,83,8,6523,8718,2134,61
2020-05-13,509,41,3,6988,9227,2175,64
2020-05-14,447,65,2,7368,9674,2240,66
2020-05-15,434,359,5,7438,10108,2599,71
2020-05-16,477,939,4,6972,10585,3538,75
2020-05-17,639,634,4,6973,11224,4172,79
2020-05-18,536,234,3,7272,11760,4406,82
2020-05-19,688,489,3,7468,12448,4895,85
2020-05-20,743,987,3,7221,13191,5882,88
2020-05-21,776,400,7,7590,13967,6282,95
2020-05-22,786,846,4,7526,14753,7128,99
2020-05-23,759,363,5,7917,15512,7491,104
2020-05-24,765,833,8,7841,16277,8324,112
2020-05-25,805,407,7,8232,17082,8731,119
2020-05-26,646,611,11,8256,17728,9342,130
2020-05-27,817,567,6,8500,18545,9909,136
2020-05-28,827,639,12,8676,19372,10548,148
2020-05-29,874,765,9,8776,20246,11313,157
2020-05-30,938,687,6,9021,21184,12000,163
2020-05-31,1149,757,13,9400,22333,12757,176
2020-06-01,1162,413,11,10138,23495,13170,187
2020-06-02,1091,536,13,10680,24586,13706,200
2020-06-03,1286,610,8,11348,25872,14316,208
2020-06-04,1384,585,15,12132,27256,14901,223
2020-06-05,1438,861,12,12697,28694,15762,235
2020-06-06,1478,633,19,13523,30172,16395,254
