Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,0,0,1,1,0,0
2020-03-20,0,0,0,1,1,0,0
2020-03-21,0,0,0,1,1,0,0
2020-03-22,0,0,0,1,1,0,0
2020-03-23,0,0,0,1,1,0,0
2020-03-24,0,0,0,1,1,0,0
2020-03-25,2,0,0,3,3,0,0
2020-03-26,3,0,0,6,6,0,0
2020-03-27,0,0,0,6,6,0,0
2020-03-28,1,0,0,7,7,0,0
2020-03-29,0,0,0,7,7,0,0
2020-03-30,1,0,0,8,8,0,0
2020-03-31,1,2,0,7,9,2,0
2020-04-01,0,0,0,7,9,2,0
2020-04-02,0,1,0,6,9,3,0
2020-04-03,0,0,0,6,9,3,0
2020-04-04,1,0,0,7,10,3,0
2020-04-05,0,5,0,2,10,8,0
2020-04-06,0,0,0,2,10,8,0
2020-04-07,0,1,0,1,10,9,0
2020-04-08,0,0,0,1,10,9,0
2020-04-09,8,0,0,9,18,9,0
2020-04-10,0,0,0,9,18,9,0
2020-04-11,7,0,0,16,25,9,0
2020-04-12,6,1,0,21,31,10,0
2020-04-13,0,0,0,21,31,10,0
2020-04-14,2,3,0,20,33,13,0
2020-04-15,0,4,0,16,33,17,0
2020-04-16,3,6,0,13,36,23,0
2020-04-17,0,1,0,12,36,24,0
2020-04-18,0,1,0,11,36,25,0
2020-04-19,0,0,0,11,36,25,0
2020-04-20,0,0,0,11,36,25,0
2020-04-21,0,0,0,11,36,25,0
2020-04-22,0,3,0,8,36,28,0
2020-04-23,0,2,0,6,36,30,0
2020-04-24,0,0,0,6,36,30,0
2020-04-25,1,2,0,5,37,32,0
2020-04-26,0,0,0,5,37,32,0
2020-04-27,0,0,0,5,37,32,0
2020-04-28,1,2,0,4,38,34,0
2020-04-29,0,0,0,4,38,34,0
2020-04-30,2,2,0,4,40,36,0
2020-05-01,3,0,0,7,43,36,0
2020-05-02,0,0,0,7,43,36,0
2020-05-03,14,0,0,21,57,36,0
2020-05-04,1,0,0,22,58,36,0
2020-05-05,1,0,0,23,59,36,0
2020-05-06,0,0,0,23,59,36,0
2020-05-07,0,0,0,23,59,36,0
2020-05-08,0,2,0,21,59,38,0
2020-05-09,0,5,0,16,59,43,0
2020-05-10,0,6,0,10,59,49,0
2020-05-11,0,4,0,6,59,53,0
2020-05-12,0,1,0,5,59,54,0
2020-05-13,0,1,0,4,59,55,0
2020-05-14,1,1,0,4,60,56,0
2020-05-15,6,0,0,10,66,56,0
2020-05-16,1,2,0,9,67,58,0
2020-05-17,18,1,0,26,85,59,0
2020-05-18,10,0,0,36,95,59,0
2020-05-19,5,0,0,41,100,59,0
2020-05-20,14,0,0,55,114,59,0
2020-05-21,14,0,0,69,128,59,0
2020-05-22,44,3,0,110,172,62,0
2020-05-23,42,2,0,150,214,64,0
2020-05-24,38,0,0,188,252,64,0
2020-05-25,40,3,0,225,292,67,0
2020-05-26,68,12,0,281,360,79,0
2020-05-27,4,4,0,281,364,83,0
2020-05-28,34,0,0,315,398,83,0
2020-05-29,17,17,1,314,415,100,1
2020-05-30,32,2,0,344,447,102,1
2020-05-31,51,12,0,383,498,114,1
2020-06-01,49,7,0,425,547,121,1
2020-06-02,15,9,1,430,562,130,2
2020-06-03,64,40,0,454,626,170,2
2020-06-04,147,36,0,565,773,206,2
2020-06-05,90,25,0,630,863,231,2
2020-06-06,60,28,2,660,923,259,4
